time,pm10
Apr-03,63
May-03,59
Jun-03,44
Jul-03,26
Aug-03,29
Sep-03,31
Oct-03,38
Nov-03,31
Dec-03,57
Jan-04,52
Feb-04,57
Mar-04,77
Apr-04,57
May-04,66
Jun-04,43
Aug-04,26
Sep-04,32
Oct-04,52
Nov-04,56
Dec-04,42
Jan-05,44
Feb-05,40
Mar-05,60
Apr-05,86
May-05,46
Jun-05,34
Sep-05,35
Oct-05,46
Nov-05,69
Dec-05,32
Jan-06,47
Feb-06,50
Mar-06,82
Apr-06,102
May-06,59
Jun-06,36
Sep-06,37
Oct-06,50
Nov-06,41
Dec-06,45
Jan-07,51
Feb-07,60
Mar-07,60
Apr-07,59
May-07,101
Jun-07,28
Jul-07,46
Sep-07,43
Oct-07,40
Nov-07,51
Dec-07,55
Jan-08,46
Feb-08,52
Mar-08,58
Apr-08,59
May-08,63
Jun-08,32
Jul-08,21
Aug-08,29
Sep-08,41
Oct-08,49
Nov-08,42
Dec-08,53
Jan-09,40
Feb-09,74
Mar-09,73
Apr-09,57
May-09,59
Jun-09,38
Jul-09,36
Aug-09,41
Sep-09,55
Oct-09,44
Nov-09,48
Dec-09,54
Jan-10,41
Feb-10,35
Mar-10,57
Apr-10,45
May-10,44
Jun-10,29
Jul-10,23
Aug-10,23
Sep-10,26
Oct-10,28
Nov-10,65
Dec-10,58
Jan-11,33
Feb-11,54
Mar-11,62
Apr-11,51
May-11,85
Jun-11,25
Jul-11,19
Aug-11,22
Sep-11,33
Oct-11,46
Nov-11,48
Dec-11,36
Jan-12,53
Feb-12,45
Mar-12,50
Apr-12,45
May-12,51
Jun-12,25
Jul-12,24
Aug-12,27
Sep-12,35
Oct-12,30
Nov-12,36
Dec-12,32
Jan-13,56
Feb-13,41
Mar-13,47
Apr-13,47
May-13,50
Jun-13,32
Jul-13,34
Sep-13,26
Nov-13,34
Dec-13,38
Jan-14,42
Feb-14,47
Mar-14,40
Apr-14,44
May-14,43
Jun-14,31
Jul-14,40
Aug-14,35
Sep-14,30
Oct-14,34
Nov-14,42
Dec-14,41
Jan-15,40
Feb-15,65
Mar-15,62
Apr-15,45
May-15,34
Jun-15,28
Jul-15,23
Aug-15,29
Sep-15,24
Oct-15,31
Nov-15,38
Dec-15,37
Jan-16,35
Feb-16,34
Mar-16,57
Apr-16,67
May-16,41
Jun-16,29
Jul-16,19
Aug-16,20
Sep-16,28
Oct-16,25
Nov-16,37
Dec-16,28
Jan-17,36
Feb-17,31
Mar-17,42
Apr-17,48
May-17,52
Jun-17,27
Jul-17,22
Aug-17,18
Sep-17,27
Oct-17,29
Jan-18,40
Feb-18,41
Mar-18,32
Apr-18,37
May-18,33
Jun-18,23
Jul-18,18
Aug-18,22
Sep-18,22
Oct-18,21
Nov-18,34
Dec-18,34
Jan-19,47
Feb-19,44
Mar-19,49
Apr-19,36
May-19,40
Jun-19,20
Jul-19,22
Aug-19,23
Sep-19,25
Oct-19,40
Nov-19,31
Dec-19,32
Jan-20,33
Feb-20,36
Mar-20,36
Apr-20,40
May-20,25
Jun-20,24
Jul-20,21
Aug-20,20
Sep-20,23
Oct-20,30
Nov-20,28
Dec-20,32
Jan-21,34
Feb-21,36
Mar-21,60
Apr-21,41
May-21,50
Jun-21,22
Jul-21,22
Aug-21,22
Sep-21,18
Oct-21,23
Nov-21,30
Dec-21,30
Jan-22,29
Feb-22,30
Mar-22,31
Apr-22,35
May-22,26
Jun-22,17
Jul-22,21
Aug-22,18
Sep-22,22
Oct-22,21
Nov-22,28
Dec-22,31
Jan-23,40
