time,num
03-Jan,"17,445"
03-Feb,"15,059"
03-Mar,"16,838"
03-Apr,"15,960"
03-May,"16,169"
03-Jun,"14,037"
03-Jul,"13,809"
03-Aug,"11,835"
03-Sep,"13,637"
03-Oct,"13,634"
03-Nov,"12,655"
03-Dec,"16,048"
04-Jan,"12,424"
04-Feb,"11,593"
04-Mar,"13,736"
04-Apr,"13,988"
04-May,"14,093"
04-Jun,"13,838"
04-Jul,"13,630"
04-Aug,"12,367"
04-Sep,"13,102"
04-Oct,"14,133"
04-Nov,"14,965"
04-Dec,"15,209"
05-Jan,"13,881"
05-Feb,"12,369"
05-Mar,"14,566"
05-Apr,"14,552"
05-May,"17,824"
05-Jun,"16,482"
05-Jul,"16,909"
05-Aug,"17,944"
05-Sep,"19,562"
05-Oct,"20,020"
05-Nov,"21,625"
05-Dec,"22,963"
06-Jan,"22,081"
06-Feb,"20,045"
06-Mar,"23,050"
06-Apr,"21,809"
06-May,"25,790"
06-Jun,"23,520"
06-Jul,"23,090"
06-Aug,"22,713"
06-Sep,"23,141"
06-Oct,"24,627"
06-Nov,"25,823"
06-Dec,"24,432"
07-Jan,"25,054"
07-Feb,"22,312"
07-Mar,"23,647"
07-Apr,"24,945"
07-May,"27,461"
07-Jun,"24,358"
07-Jul,"26,193"
07-Aug,"24,067"
07-Sep,"23,793"
07-Oct,"28,820"
07-Nov,"27,722"
07-Dec,"28,067"
08-Jan,"27,854"
08-Feb,"25,612"
08-Mar,"27,999"
08-Apr,"29,380"
08-May,"29,568"
08-Jun,"28,338"
08-Jul,"23,894"
08-Aug,"19,483"
08-Sep,"23,530"
08-Oct,"23,663"
08-Nov,"22,331"
08-Dec,"25,267"
09-Jan,"21,561"
09-Feb,"19,480"
09-Mar,"23,534"
09-Apr,"22,800"
09-May,"22,811"
09-Jun,"24,175"
09-Jul,"23,379"
09-Aug,"21,137"
09-Sep,"24,826"
09-Oct,"24,612"
09-Nov,"25,766"
09-Dec,"27,523"
