time,pm10
May-08,63
Jun-08,42
Jul-08,37
Aug-08,27
Sep-08,40
Oct-08,60
Nov-08,46
Dec-08,62
Jan-09,57
Feb-09,81
Mar-09,59
Apr-09,63
May-09,56
Jun-09,47
Jul-09,39
Aug-09,31
Sep-09,39
Oct-09,49
Nov-09,43
Dec-09,68
Jan-10,56
Feb-10,47
Mar-10,60
Apr-10,46
May-10,55
Jun-10,48
Jul-10,30
Aug-10,33
Sep-10,27
Oct-10,38
Nov-10,69
Dec-10,64
Jan-11,44
Feb-11,74
Mar-11,67
Apr-11,56
May-11,76
Jun-11,48
Jul-11,35
Aug-11,33
Sep-11,32
Oct-11,39
Nov-11,36
Dec-11,41
Jan-12,55
Feb-12,47
Mar-12,43
Apr-12,49
May-12,48
Jun-12,37
Jul-12,27
Aug-12,24
Sep-12,28
Oct-12,34
Nov-12,42
Dec-12,40
Jan-13,62
Feb-13,44
Mar-13,55
Apr-13,54
May-13,57
Jun-13,43
Aug-13,41
Sep-13,33
Oct-13,30
Nov-13,44
Dec-13,58
Jan-14,61
Feb-14,59
Mar-14,66
Apr-14,63
May-14,70
Jun-14,42
Jul-14,42
Aug-14,33
Sep-14,31
Oct-14,35
Nov-14,45
Dec-14,48
Jan-15,51
Feb-15,91
Mar-15,73
Apr-15,47
May-15,46
Jun-15,34
Jul-15,29
Aug-15,32
Sep-15,26
Oct-15,42
Nov-15,32
Dec-15,43
Jan-16,47
Feb-16,42
Mar-16,60
Apr-16,64
May-16,49
Jun-16,41
Jul-16,29
Aug-16,30
Sep-16,30
Oct-16,34
Nov-16,46
Dec-16,42
Jan-17,47
Feb-17,41
Mar-17,51
Apr-17,51
May-17,59
Jun-17,36
Jul-17,30
Aug-17,20
Sep-17,32
Oct-17,29
Nov-17,36
Dec-17,43
Jan-18,42
Feb-18,44
Mar-18,42
Apr-18,47
May-18,45
Jun-18,31
Jul-18,22
Aug-18,20
Sep-18,19
Oct-18,27
Nov-18,51
Dec-18,46
Jan-19,68
Feb-19,61
Mar-19,68
Apr-19,38
May-19,46
Jun-19,26
Jul-19,26
Aug-19,25
Sep-19,24
Oct-19,27
Nov-19,40
Dec-19,48
Jan-20,47
Feb-20,51
Mar-20,50
Apr-20,46
May-20,37
Jun-20,41
Sep-20,22
Oct-20,51
Nov-20,64
Dec-20,59
Jan-21,57
Feb-21,70
Mar-21,99
Apr-21,54
May-21,63
Jun-21,44
Jul-21,31
Aug-21,28
Sep-21,19
Oct-21,31
Nov-21,46
Dec-21,41
Jan-22,49
Feb-22,45
Mar-22,47
Apr-22,48
May-22,36
Jun-22,24
Jul-22,26
Aug-22,22
Sep-22,24
Oct-22,28
Nov-22,37
Dec-22,40
Jan-23,53
