time,pm10
May-08,61
Jun-08,42
Jul-08,35
Aug-08,31
Sep-08,43
Oct-08,65
Nov-08,54
Dec-08,64
Jan-09,60
Feb-09,83
Mar-09,61
Apr-09,68
May-09,54
Jun-09,46
Jul-09,37
Aug-09,34
Sep-09,43
Oct-09,58
Nov-09,52
Dec-09,74
Jan-10,64
Feb-10,52
Mar-10,64
Apr-10,51
May-10,59
Jun-10,53
Jul-10,32
Aug-10,33
Sep-10,30
Oct-10,46
Nov-10,83
Dec-10,71
Jan-11,48
Feb-11,84
Mar-11,70
Apr-11,61
May-11,75
Jun-11,47
Jul-11,31
Aug-11,29
Sep-11,36
Oct-11,54
Nov-11,48
Dec-11,54
Jan-12,64
Feb-12,55
Mar-12,52
Apr-12,52
May-12,59
Jun-12,43
Jul-12,29
Aug-12,24
Sep-12,33
Oct-12,39
Nov-12,51
Dec-12,46
Jan-13,70
Feb-13,49
Mar-13,61
Apr-13,57
May-13,57
Jun-13,43
Jul-13,34
Aug-13,40
Sep-13,33
Oct-13,32
Nov-13,47
Dec-13,58
Jan-14,63
Feb-14,60
Mar-14,60
Apr-14,60
May-14,64
Jun-14,41
Jul-14,40
Aug-14,33
Sep-14,34
Oct-14,38
Nov-14,48
Dec-14,46
Jan-15,52
Feb-15,79
Mar-15,68
Apr-15,44
May-15,44
Jun-15,35
Jul-15,30
Aug-15,35
Sep-15,29
Oct-15,46
Nov-15,36
Dec-15,44
Jan-16,43
Feb-16,40
Mar-16,55
Apr-16,59
May-16,48
Jun-16,38
Jul-16,28
Aug-16,31
Sep-16,33
Oct-16,33
Nov-16,44
Dec-16,45
Jan-17,49
Feb-17,43
Mar-17,57
Apr-17,52
May-17,59
Jun-17,37
Aug-17,22
Sep-17,34
Oct-17,32
Nov-17,43
Dec-17,44
Jan-18,47
Feb-18,49
Mar-18,46
Apr-18,51
May-18,43
Jun-18,33
Jul-18,23
Aug-18,28
Oct-18,32
Nov-18,60
Dec-18,50
Jan-19,72
Feb-19,67
Mar-19,75
Apr-19,37
May-19,48
Jun-19,27
Jul-19,25
Aug-19,25
Sep-19,21
Oct-19,27
Nov-19,38
Dec-19,50
Jan-20,49
Feb-20,48
Mar-20,47
Apr-20,39
May-20,44
Jun-20,48
Jul-20,27
Aug-20,28
Sep-20,25
Oct-20,41
Nov-20,59
Dec-20,66
Jan-21,61
Feb-21,75
Mar-21,95
Apr-21,62
May-21,76
Jun-21,47
Jul-21,33
Aug-21,31
Sep-21,23
Oct-21,35
Nov-21,53
Dec-21,56
Jan-22,65
Feb-22,61
Mar-22,58
Apr-22,57
May-22,45
Jun-22,29
Jul-22,32
Aug-22,23
Sep-22,29
Oct-22,38
Nov-22,48
Dec-22,41
Jan-23,54
