time,avg
Jan-64,-0.7
Feb-64,-3.5
Mar-64,3
Apr-64,13.7
May-64,17.2
Jun-64,20.5
Jul-64,24.6
Aug-64,25.8
Sep-64,19.5
Oct-64,12.4
Nov-64,5.5
Dec-64,-0.8
Jan-65,-4.4
Feb-65,-1.6
Mar-65,2.2
Apr-65,9.5
May-65,16.5
Jun-65,21.4
Jul-65,24.1
Aug-65,24.6
Sep-65,19.8
Oct-65,13.3
Nov-65,6.5
Dec-65,-2.3
Jan-66,-5.3
Feb-66,-0.5
Mar-66,4.6
Apr-66,10.9
May-66,17.2
Jun-66,20.5
Jul-66,24
Aug-66,26.6
Sep-66,19.5
Oct-66,13.7
Nov-66,5.4
Dec-66,-3
Jan-67,-5.4
Feb-67,-2.4
Mar-67,4.2
Apr-67,11.4
May-67,18.3
Jun-67,21.1
Jul-67,25.6
Aug-67,26.9
Sep-67,20.1
Oct-67,12.9
Nov-67,5.8
Dec-67,-5.1
Jan-68,-4.3
Feb-68,-5.2
Mar-68,3.6
Apr-68,11
May-68,16.2
Jun-68,20.1
Jul-68,24.4
Aug-68,24.2
Sep-68,19.7
Oct-68,11.5
Nov-68,6.6
Dec-68,2.1
Jan-69,-3.9
Feb-69,-3.8
Mar-69,2.4
Apr-69,10.2
May-69,15.9
Jun-69,19.3
Jul-69,23.7
Aug-69,24.5
Sep-69,20.1
Oct-69,11.9
Nov-69,4.1
Dec-69,-2.4
Jan-70,-5.9
Feb-70,-1.2
Mar-70,0.2
Apr-70,10.7
May-70,17.4
Jun-70,19.8
Jul-70,23.1
Aug-70,25.7
Sep-70,20.7
Oct-70,13.4
Nov-70,5
Dec-70,-1.7
Jan-71,-3.7
Feb-71,-2
Mar-71,2
Apr-71,10.3
May-71,16.1
Jun-71,21.4
Jul-71,24.5
Aug-71,24.7
Sep-71,20.1
Oct-71,11.4
Nov-71,7.2
Dec-71,-1.3
Jan-72,0.2
Feb-72,-0.4
Mar-72,4.4
Apr-72,10.8
May-72,15.7
Jun-72,20.9
Jul-72,25.2
Aug-72,23.1
Sep-72,18.5
Oct-72,12.8
Nov-72,4.7
Dec-72,-0.2
Jan-73,-0.4
Feb-73,-0.2
Mar-73,3.6
Apr-73,11.7
May-73,16.6
Jun-73,20.9
Jul-73,26.5
Aug-73,25.7
Sep-73,19.6
Oct-73,12.1
Nov-73,3.9
Dec-73,-4.5
Jan-74,-4.6
Feb-74,-2.9
Mar-74,2.9
Apr-74,10.3
May-74,15.9
Jun-74,19.2
Jul-74,23.5
Aug-74,24.9
Sep-74,19.3
Oct-74,11.5
Nov-74,4.1
Dec-74,-1.5
Jan-75,-3.5
Feb-75,-1.3
Mar-75,3.4
Apr-75,12.2
May-75,16
Jun-75,20.7
Jul-75,24.6
Aug-75,26.2
Sep-75,21.8
Oct-75,14.3
Nov-75,7.9
Dec-75,-3.3
Jan-76,-4.7
Feb-76,1.8
Mar-76,4
Apr-76,9.9
May-76,15.6
Jun-76,20.7
Jul-76,22.8
Aug-76,23.7
Sep-76,18.7
Oct-76,12.6
Nov-76,2.6
Dec-76,-0.4
Jan-77,-7.9
Feb-77,-3.8
Mar-77,4.2
Apr-77,11.7
May-77,16.3
Jun-77,21.7
Jul-77,25.6
Aug-77,23.8
Sep-77,20.6
Oct-77,14.9
Nov-77,6.8
Dec-77,1.4
Jan-78,-3
Feb-78,-2.8
Mar-78,3.3
Apr-78,10.7
May-78,17.1
Jun-78,21.5
Jul-78,26.5
Aug-78,25.7
Sep-78,20.4
Oct-78,13.3
Nov-78,6.3
Dec-78,1
Jan-79,-0.1
Feb-79,0.2
Mar-79,5
Apr-79,10.4
May-79,15.6
Jun-79,21.3
Jul-79,24.4
Aug-79,25.3
Sep-79,19
Oct-79,14.2
Nov-79,4.8
Dec-79,0.5
Jan-80,-4
Feb-80,-4.6
Mar-80,4.1
Apr-80,9.7
May-80,15.6
Jun-80,20.8
Jul-80,22.6
Aug-80,22.7
Sep-80,18.5
Oct-80,11.7
Nov-80,7.2
Dec-80,-4.3
Jan-81,-9.8
Feb-81,-2.2
Mar-81,4.6
Apr-81,10.8
May-81,15.5
Jun-81,21.1
Jul-81,25.4
Aug-81,24.1
Sep-81,19.1
Oct-81,12.1
Nov-81,2.5
Dec-81,-1.6
Jan-82,-4.1
Feb-82,-1.1
Mar-82,4.6
Apr-82,10.7
May-82,17.3
Jun-82,21
Jul-82,24.3
Aug-82,25
Sep-82,19.2
Oct-82,14.4
Nov-82,6.9
Dec-82,-0.9
Jan-83,-3
Feb-83,-2.9
Mar-83,5.1
Apr-83,12.3
May-83,17.5
Jun-83,21.2
Jul-83,23.6
Aug-83,25.8
Sep-83,21.4
Oct-83,13.1
Nov-83,5.4
Dec-83,-2.4
Jan-84,-7
Feb-84,-4.2
Mar-84,1.9
Apr-84,11.1
May-84,17.1
Jun-84,21.9
Jul-84,24.9
Aug-84,26.2
Sep-84,19.4
Oct-84,12.8
Nov-84,7.1
Dec-84,-1.2
Jan-85,-6.6
Feb-85,-0.6
Mar-85,3.6
Apr-85,10.8
May-85,17.6
Jun-85,21.6
Jul-85,25.1
Aug-85,26.4
Sep-85,20.3
Oct-85,14.2
Nov-85,5.8
Dec-85,-3.2
Jan-86,-6
Feb-86,-3.8
Mar-86,4.1
Apr-86,11
May-86,16.2
Jun-86,21.3
Jul-86,23.2
Aug-86,24.1
Sep-86,19
Oct-86,11.9
Nov-86,4.7
Dec-86,1.4
Jan-87,-2.9
Feb-87,-0.4
Mar-87,3.8
Apr-87,9.9
May-87,16.2
Jun-87,21.8
Jul-87,23.5
Aug-87,24.3
Sep-87,19.2
Oct-87,14.4
Nov-87,6.9
Dec-87,0.3
Jan-88,-2.3
Feb-88,-1.8
Mar-88,3.7
Apr-88,10.3
May-88,17
Jun-88,21.7
Jul-88,24.4
Aug-88,25.4
Sep-88,20.3
Oct-88,13.3
Nov-88,4.3
Dec-88,-0.3
Jan-89,0.5
Feb-89,1.7
Mar-89,5.3
Apr-89,12.5
May-89,17.2
Jun-89,20.6
Jul-89,24.3
Aug-89,25.4
Sep-89,20
Oct-89,12.5
Nov-89,6.5
