time,coal,oil,gas,water,neclear,renewal
Jan-97,"2,820","10,749","1,796",95,"1,521",103
Feb-97,"2,490","9,049","1,435",76,"1,255",99
Mar-97,"2,995","9,776","1,482",73,"1,195",109
Apr-97,"2,646","8,683","1,250",80,"1,431",113
May-97,"2,855","8,287","1,181",111,"1,468",116
Jun-97,"2,676","7,262","1,044",160,"1,766",105
Jul-97,"2,942","7,915","1,023",202,"1,949",112
Aug-97,"3,001","8,479","1,015",154,"1,957",105
Sep-97,"2,920","8,310","1,064",101,"1,783",102
Oct-97,"3,226","9,705","1,407",83,"1,514",128
Nov-97,"3,127","9,807","1,783",89,"1,544",124
Dec-97,"3,231","11,351","2,348",128,"1,891",130
Jan-98,"2,879","8,044","2,183",97,"1,853",115
Feb-98,"2,899","7,240","1,736",94,"1,431",111
Mar-98,"3,237","8,450","1,586",115,"1,697",123
Apr-98,"3,093","7,335","1,146",147,"1,858",129
May-98,"3,156","7,203",852,173,"1,687",132
Jun-98,"2,979","6,641",861,142,"1,794",120
Jul-98,"2,838","6,781","1,160",177,"2,011",128
Aug-98,"2,810","6,783","1,117",216,"2,073",120
Sep-98,"3,054","7,439","1,004",102,"1,865",116
Oct-98,"2,799","7,471","1,201",100,"2,107",145
Nov-98,"3,080","7,947","1,703",76,"1,971",140
Dec-98,"3,227","9,571","2,301",87,"2,075",146
Jan-99,"3,231","9,029","2,183",78,"1,928",137
Feb-99,"2,736","8,187","1,736",94,"1,854",132
Mar-99,"3,236","9,212","1,586",112,"2,012",146
Apr-99,"3,126","8,238","1,146",137,"1,889",152
May-99,"3,132","6,905",852,131,"2,163",156
Jun-99,"3,192","6,852",861,130,"2,068",142
Jul-99,"3,388","7,734","1,160",90,"2,126",152
Aug-99,"3,109","7,611","1,117",209,"2,351",142
Sep-99,"3,032","7,717","1,004",179,"2,287",137
Oct-99,"3,394","8,091","1,201",152,"2,363",172
Nov-99,"3,210","8,423","1,703",94,"2,351",166
Dec-99,"3,372","9,557","2,301",114,"2,376",173
Jan-00,"3,337","9,337","2,455",114,"2,356",161
Feb-00,"3,032","8,937","2,294",108,"2,161",155
Mar-00,"3,613","9,197","1,928",78,"2,245",172
Apr-00,"3,437","8,073","1,363",77,"2,082",180
May-00,"3,676","8,310","1,058",87,"2,191",184
Jun-00,"3,631","7,520",956,119,"2,095",168
Jul-00,"3,798","7,380","1,138",126,"2,323",179
Aug-00,"3,784","7,941","1,004",172,"2,445",168
Sep-00,"3,352","7,857",896,221,"2,390",162
Oct-00,"3,702","8,033","1,311",111,"2,229",203
Nov-00,"3,850","8,700","1,978",103,"2,205",195
Dec-00,"3,714","9,335","2,543",87,"2,521",203
01-Jan,"3,425","9,811","2,969",72,"2,521",187
01-Feb,"3,100","8,316","2,494",56,"2,262",179
01-Mar,"3,380","9,070","2,307",56,"2,258",199
01-Apr,"3,646","7,736","1,431",73,"2,364",206
01-May,"3,738","8,014","1,199",83,"2,270",211
01-Jun,"4,065","7,954","1,005",96,"2,134",194
01-Jul,"4,174","7,154","1,094",150,"2,343",207
01-Aug,"4,001","7,683","1,059",165,"2,595",194
01-Sep,"3,867","8,408","1,057",99,"2,276",185
01-Oct,"4,016","7,687","1,311",72,"2,238",233
01-Nov,"4,099","8,736","2,000",62,"2,393",226
01-Dec,"4,216","10,259","2,863",54,"2,379",236
02-Jan,"4,207","9,710","2,932",58,"2,417",199
02-Feb,"3,491","8,575","2,357",60,"2,354",196
02-Mar,"3,899","9,341","2,163",74,"2,537",207
02-Apr,"3,891","8,561","1,572",72,"2,156",236
02-May,"4,023","7,760","1,322",113,"2,566",248
02-Jun,"4,056","7,311","1,142",136,"2,527",218
02-Jul,"4,306","7,516","1,395",146,"2,619",242
02-Aug,"4,001","7,916","1,282",221,"2,757",247
02-Sep,"3,935","8,299","1,331",210,"2,296",261
02-Oct,"4,248","8,470","1,998",78,"2,484",280
02-Nov,"4,524","9,164","2,773",70,"2,325",285
02-Dec,"4,549","10,412","2,828",91,"2,741",305
03-Jan,"4,517","10,193","3,210",83,"2,937",251
03-Feb,"4,012","8,892","2,489",77,"2,346",239
03-Mar,"4,156","8,816","2,540",80,"2,872",264
03-Apr,"4,045","7,598","2,005",95,"2,466",270
03-May,"4,172","8,070","1,653",190,"2,257",277
03-Jun,"4,230","8,105","1,388",164,"2,361",253
03-Jul,"4,356","7,617","1,248",206,"3,038",270
03-Aug,"4,259","7,863","1,284",242,"2,978",253
03-Sep,"4,006","7,750","1,234",290,"2,601",243
03-Oct,"4,412","8,922","1,620",132,"2,949",306
03-Nov,"4,374","9,119","2,165",84,"2,782",300
03-Dec,"4,586","10,128","3,359",80,"2,831",314
04-Jan,"4,466","9,547","3,740",80,"2,594",300
04-Feb,"4,280","8,428","3,416",56,"2,371",289
04-Mar,"4,465","9,119","3,109",58,"2,548",322
04-Apr,"4,149","7,924","2,259",58,"2,408",335
04-May,"4,310","7,676","1,830",91,"2,602",343
04-Jun,"4,188","7,885","1,631",151,"2,696",314
04-Jul,"4,557","7,554","1,708",280,"2,900",336
04-Aug,"4,498","8,114","1,422",273,"3,166",315
04-Sep,"4,222","7,965","1,426",162,"2,818",302
04-Oct,"4,741","8,511","1,955",88,"2,699",377
04-Nov,"4,459","8,596","2,468",84,"2,787",364
04-Dec,"4,866","9,767","3,388",83,"3,090",380
05-Jan,"4,695","9,727","4,105",69,"2,887",314
05-Feb,"4,040","8,412","3,333",59,"2,831",298
05-Mar,"4,250","9,699","3,305",50,"3,159",328
05-Apr,"4,135","8,389","1,927",83,"3,164",328
05-May,"4,517","7,817","1,528",118,"3,321",333
05-Jun,"4,410","8,028","1,660",111,"2,923",305
05-Jul,"4,739","7,579","1,755",180,"2,963",324
05-Aug,"4,842","8,117","1,582",208,"3,314",305
05-Sep,"4,756","7,979","1,733",137,"2,841",293
